hr,Density,Links,B,V,Size
1,0,0,1,1,2
2,0,0,1,1,2
3,0,0,1,1,2
4,0,0,1,1,2
5,0,0,1,1,2
6,0,0,1,1,2
7,0,0,1,1,2
8,0,0,1,1,2
9,0,0,1,1,2
10,0,0,1,1,2
11,0,0,1,1,2
12,0,0,1,1,2
13,0,0,1,1,2
14,0,0,1,1,2
15,0,0,1,1,2
16,0,0,1,1,2
17,0,0,1,2,3
18,0,0,1,3,4
19,0,0,1,7,8
20,1,20,1,20,21
21,0.9147540983606557,279,5,61,66
22,0.93,1395,10,150,160
23,0.9323529411764706,2853,12,255,267
24,0.9332351497299951,3802,14,291,305
25,0.9330669330669331,3736,14,286,300
26,0.9324175824175824,3394,14,260,274
27,0.9321133412042503,3158,14,242,256
28,0.9326337169939065,2755,14,211,225
29,0.9325396825396826,2585,14,198,212
30,0.9327507598784195,2455,14,188,202
31,0.9315300084530854,2204,14,169,183
32,0.9314096499526963,1969,14,151,165
33,0.9311594202898551,1799,14,138,152
34,0.930952380952381,1564,14,120,134
35,0.9311454311454311,1447,14,111,125
36,0.9306518723994452,1342,14,103,117
37,0.9309262166405023,1186,14,91,105
38,0.9302721088435374,1094,14,84,98
39,0.9303350970017636,1055,14,81,95
40,0.9304761904761905,977,14,75,89
41,0.9305555555555556,938,14,72,86
42,0.9307036247334755,873,14,67,81
43,0.9297052154195011,820,14,63,77
44,0.9297820823244553,768,14,59,73
45,0.9298245614035088,742,14,57,71
46,0.9298941798941799,703,14,54,68
47,0.929945054945055,677,14,52,66
48,0.9300595238095238,625,14,48,62
49,0.9300595238095238,625,14,48,62
50,0.9300595238095238,625,14,48,62
51,0.9300595238095238,625,14,48,62
52,0.9300595238095238,625,14,48,62
53,0.9300911854103343,612,14,47,61
54,0.9301587301587302,586,14,45,59
55,0.9302325581395349,560,14,43,57
56,0.9303571428571429,521,14,40,54
57,0.9304029304029304,508,14,39,53
58,0.9304029304029304,508,14,39,53
59,0.9305019305019305,482,14,37,51
60,0.9306122448979591,456,14,35,49
61,0.9306122448979591,456,14,35,49
62,0.930672268907563,443,14,34,48
63,0.930672268907563,443,14,34,48
64,0.930672268907563,443,14,34,48
65,0.930672268907563,443,14,34,48
66,0.930672268907563,443,14,34,48
67,0.930672268907563,443,14,34,48
68,0.930672268907563,443,14,34,48
69,0.9307359307359307,430,14,33,47
70,0.9307359307359307,430,14,33,47
71,0.9308035714285714,417,14,32,46
72,0.9308035714285714,417,14,32,46
